trial,group_size,num_groups,mse,average_scale,zeroed_values
0,1,1000,2.75E-16,0.258224398,0
0,2,500,0.00301282,0.44812572,49
0,4,250,0.005255737,0.784208775,78
0,8,125,0.013184595,1.402074337,100
0,10,100,0.015681511,1.705109835,114
0,16,63,0.020672252,2.576368809,135
0,20,50,0.027038377,3.178267002,146
0,25,40,0.034434702,3.909687757,153
0,32,32,0.041364692,4.800621033,160
0,40,25,0.044179134,6.072410107,178
0,50,20,0.05738017,7.5178442,192
0,64,16,0.081884913,9.303033829,214
0,100,10,0.122590341,14.66904736,252
0,125,8,0.148113802,18.25079536,280
0,200,5,0.196227968,28.95166969,345
0,250,4,0.234706149,36.0932312,397
0,500,2,0.517775118,71.67102814,597
0,1000,1,1.056724906,142.8571472,999
1,1,1000,4.06E-16,0.259819359,0
1,2,500,0.001923322,0.451162905,49
1,4,250,0.006770466,0.782908082,74
1,8,125,0.01311975,1.402952909,106
1,10,100,0.014381541,1.701969624,104
1,16,63,0.019928977,2.567961931,125
1,20,50,0.023211313,3.17790103,136
1,25,40,0.027658306,3.909968853,149
1,32,32,0.036697593,4.808472157,152
1,40,25,0.042095561,6.080455303,166
1,50,20,0.054026093,7.519411564,179
1,64,16,0.076665513,9.302657127,191
1,100,10,0.101453364,14.67462921,236
1,125,8,0.135044023,18.25066948,260
1,200,5,0.232601196,28.93507957,327
1,250,4,0.286682516,36.08015442,383
1,500,2,0.543561578,71.71039581,606
1,1000,1,1.056299567,142.8571472,999
2,1,1000,3.16E-16,0.2544007,0
2,2,500,0.002199158,0.44297722,54
2,4,250,0.006767872,0.775126398,96
2,8,125,0.012644632,1.386997104,122
2,10,100,0.014055906,1.682791471,137
2,16,63,0.017732309,2.547522068,147
2,20,50,0.021714905,3.147551537,159
2,25,40,0.024688922,3.878078461,171
2,32,32,0.037503477,4.768035412,173
2,40,25,0.044385243,6.038639545,185
2,50,20,0.052183159,7.478104591,201
2,64,16,0.070452496,9.274297714,213
2,100,10,0.106631868,14.64961052,259
2,125,8,0.120998979,18.22844696,281
2,200,5,0.191422909,28.93117714,349
2,250,4,0.234228432,36.06328964,395
2,500,2,0.481131256,71.67005157,597
2,1000,1,0.962803066,142.8571472,999
3,1,1000,4.22E-16,0.256735653,0
3,2,500,0.001455159,0.444419771,42
3,4,250,0.003767285,0.776490629,73
3,8,125,0.011469769,1.395084262,103
3,10,100,0.012164623,1.697171807,109
3,16,63,0.015002511,2.557015896,124
3,20,50,0.019960221,3.164770842,132
3,25,40,0.021899832,3.892890215,146
3,32,32,0.039494727,4.785679817,153
