group_size,num_groups,mean_mse,std_mse,mean_average_scale,std_average_scale,mean_zeroed_values,std_zeroed_values
1,1000,3.447327083582762e-16,6.339856494882449e-17,0.25654135465621947,0.0027262514271837383,0.0,0.0
2,500,0.0021959199965931476,0.001050536912382901,0.4463550487160683,0.0036621249795333703,46.5,5.684464030419341
4,250,0.005918799787759781,0.0019330088597036771,0.7796965783834457,0.004977156713205573,79.33,7.305809228610374
8,125,0.012100688433274626,0.0032105186397059474,1.395126838684082,0.0067470771226541045,105.18,8.908491012579635
10,100,0.014790835776366293,0.003493437882100582,1.6940886211395263,0.0072931262248977615,113.29,9.924253527636631
16,63,0.022348420852795245,0.005327080225856572,2.5583719992637635,0.008671973108953422,130.63,10.22736969650999
20,50,0.027196868686005474,0.006544950892745327,3.1599607110023498,0.00932229426545579,139.08,10.796258236963027
25,40,0.03305273164063692,0.007760311570432265,3.885240123271942,0.010047743268091951,149.09,11.388542000137193
32,32,0.04136999428272247,0.00890169981210188,4.787030248641968,0.011299898624702197,160.25,12.038972908303633
40,25,0.04940070871263742,0.009632382218047252,6.047954273223877,0.012272488891409982,171.96,12.305800553914692
50,20,0.059752843379974364,0.010779144354027768,7.483846335411072,0.013530102542555274,184.7,12.571813912499064
64,16,0.07404839932918549,0.010806987702916687,9.275238313674926,0.013302977472246954,201.13,12.804398707578041
100,10,0.11085828490555287,0.013849019435049442,14.640811138153076,0.01637683916308058,239.42,13.399216018073215
125,8,0.13778966948390006,0.01612689975280241,18.211053085327148,0.018786280316523105,264.09,13.421748519970617
200,5,0.21308137148618697,0.021076424097591067,28.911939563751222,0.021736591606236182,333.41,13.867406011758277
250,4,0.261811246573925,0.023522058955480672,36.04076408386231,0.02347658443842999,377.55,14.042054441188196
500,2,0.5057571792602539,0.03249597148031703,71.66269966125488,0.025846327558962774,591.33,14.3005650803093
1000,1,0.9971773087978363,0.043978990720312666,142.85714721679688,0.0,999.0,0.0
