method,target,predictor,correlation,absolute_correlation
pearson,Global INT4 MSE,max_abs,0.7086395694849068,0.7086395694849068
pearson,Global INT4 MSE,abs_percentile_99_99,0.6608888771265683,0.6608888771265683
pearson,Global INT4 MSE,abs_percentile_99_9,0.635034907749792,0.635034907749792
pearson,Global INT4 MSE,abs_percentile_99,0.5964787144915483,0.5964787144915483
pearson,Global INT4 MSE,std,0.5813205175561972,0.5813205175561972
pearson,Global INT4 MSE,percent_above_5_std,0.4108289193833901,0.4108289193833901
pearson,Global INT4 MSE,max_to_std,0.39511225117309107,0.39511225117309107
pearson,Global INT4 MSE,skewness,-0.33248404373796475,0.33248404373796475
pearson,Global INT4 MSE,excess_kurtosis,0.2927337036764945,0.2927337036764945
pearson,Global INT4 MSE,percent_above_10_std,0.26185276424923015,0.26185276424923015
pearson,Global INT4 MSE,percent_above_20_std,0.08002873995661475,0.08002873995661475
pearson,Global INT4 Zeroed %,max_to_std,0.7555960287547244,0.7555960287547244
pearson,Global INT4 Zeroed %,max_abs,0.5647011228143651,0.5647011228143651
pearson,Global INT4 Zeroed %,abs_percentile_99,-0.25864669141306024,0.25864669141306024
pearson,Global INT4 Zeroed %,std,-0.2576714491828514,0.2576714491828514
pearson,Global INT4 Zeroed %,abs_percentile_99_9,-0.21345133617885834,0.21345133617885834
pearson,Global INT4 Zeroed %,percent_above_10_std,0.195944510712162,0.195944510712162
pearson,Global INT4 Zeroed %,percent_above_20_std,0.18939815495663034,0.18939815495663034
pearson,Global INT4 Zeroed %,excess_kurtosis,0.13792712422890965,0.13792712422890965
pearson,Global INT4 Zeroed %,percent_above_5_std,0.12881743912578283,0.12881743912578283
pearson,Global INT4 Zeroed %,abs_percentile_99_99,-0.12159113749384022,0.12159113749384022
pearson,Global INT4 Zeroed %,skewness,-0.0934189258683516,0.0934189258683516
pearson,Group-64 MSE Improvement,max_to_std,0.6901997647179922,0.6901997647179922
pearson,Group-64 MSE Improvement,abs_percentile_99,-0.45760703698007565,0.45760703698007565
pearson,Group-64 MSE Improvement,abs_percentile_99_9,-0.4554176446432331,0.4554176446432331
pearson,Group-64 MSE Improvement,std,-0.4302175611097201,0.4302175611097201
pearson,Group-64 MSE Improvement,abs_percentile_99_99,-0.3941795502032215,0.3941795502032215
pearson,Group-64 MSE Improvement,max_abs,0.38912946896102973,0.38912946896102973
pearson,Group-64 MSE Improvement,percent_above_5_std,-0.15918237198591698,0.15918237198591698
pearson,Group-64 MSE Improvement,excess_kurtosis,-0.05763179602551428,0.05763179602551428
pearson,Group-64 MSE Improvement,skewness,0.056983593889689814,0.056983593889689814
pearson,Group-64 MSE Improvement,percent_above_20_std,0.02031675165975257,0.02031675165975257
pearson,Group-64 MSE Improvement,percent_above_10_std,-0.01115605721606102,0.01115605721606102
spearman,Global INT4 MSE,max_abs,0.8539964007220685,0.8539964007220685
spearman,Global INT4 MSE,std,0.6675127529017472,0.6675127529017472
spearman,Global INT4 MSE,abs_percentile_99,0.667325012873775,0.667325012873775
spearman,Global INT4 MSE,abs_percentile_99_9,0.6606061984571014,0.6606061984571014
spearman,Global INT4 MSE,abs_percentile_99_99,0.621378191473344,0.621378191473344
spearman,Global INT4 MSE,excess_kurtosis,0.4928378389478959,0.4928378389478959
spearman,Global INT4 MSE,percent_above_5_std,0.48987400626344263,0.48987400626344263
spearman,Global INT4 MSE,percent_above_10_std,0.464608868101486,0.464608868101486
spearman,Global INT4 MSE,max_to_std,0.4084657910084855,0.4084657910084855
spearman,Global INT4 MSE,percent_above_20_std,0.31426383304194366,0.31426383304194366
spearman,Global INT4 MSE,skewness,-0.13706432719715453,0.13706432719715453
spearman,Global INT4 Zeroed %,max_to_std,0.9985739750445634,0.9985739750445634
spearman,Global INT4 Zeroed %,percent_above_20_std,0.8934836518903005,0.8934836518903005
spearman,Global INT4 Zeroed %,max_abs,0.7778167522258596,0.7778167522258596
spearman,Global INT4 Zeroed %,percent_above_10_std,0.6858222198120663,0.6858222198120663
spearman,Global INT4 Zeroed %,excess_kurtosis,0.23286757518256573,0.23286757518256573
spearman,Global INT4 Zeroed %,std,-0.18220097423133477,0.18220097423133477
spearman,Global INT4 Zeroed %,abs_percentile_99,-0.1686735917775059,0.1686735917775059
spearman,Global INT4 Zeroed %,abs_percentile_99_9,-0.12913005349793238,0.12913005349793238
spearman,Global INT4 Zeroed %,skewness,-0.08334524425606021,0.08334524425606021
spearman,Global INT4 Zeroed %,percent_above_5_std,0.07853539046073758,0.07853539046073758
spearman,Global INT4 Zeroed %,abs_percentile_99_99,-0.020657565545272552,0.020657565545272552
spearman,Group-64 MSE Improvement,max_to_std,0.9530101776781095,0.9530101776781095
spearman,Group-64 MSE Improvement,percent_above_20_std,0.8292163258722768,0.8292163258722768
spearman,Group-64 MSE Improvement,max_abs,0.687921875433275,0.687921875433275
spearman,Group-64 MSE Improvement,percent_above_10_std,0.5684278609104593,0.5684278609104593
spearman,Group-64 MSE Improvement,abs_percentile_99,-0.23452456384576467,0.23452456384576467
spearman,Group-64 MSE Improvement,abs_percentile_99_9,-0.21997147774918502,0.21997147774918502
spearman,Group-64 MSE Improvement,std,-0.21973763112283037,0.21973763112283037
spearman,Group-64 MSE Improvement,abs_percentile_99_99,-0.15186342029344962,0.15186342029344962
spearman,Group-64 MSE Improvement,percent_above_5_std,-0.07613511839699394,0.07613511839699394
spearman,Group-64 MSE Improvement,excess_kurtosis,0.06221116012387361,0.06221116012387361
spearman,Group-64 MSE Improvement,skewness,-0.03527111724455178,0.03527111724455178
